state_x,district_x,market_x,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,_state_clean,_district_clean,_market_clean,state_y,district_y,market_y,lat,lng,source
Andhra Pradesh,Kurnool,Allagadda,Paddy(Dhan)(Common),Sona,FAQ,2024-04-02,2250.0,2500.0,2360.0,Andhra Pradesh,Kurnool,Allagadda,Andhra Pradesh,Kurnool,Allagadda,15.1332048,78.5141594,nominatim
Andhra Pradesh,Kurnool,Banaganapalli,Paddy(Dhan)(Common),Sona Mahsuri,FAQ,2024-04-02,2400.0,2600.0,2500.0,Andhra Pradesh,Kurnool,Banaganapalli,Andhra Pradesh,Kurnool,Banaganapalli,15.3223031,78.2507163,nominatim
Andhra Pradesh,Chittor,Palamaner,Green Chilli,Green Chilly,FAQ,2024-04-02,2500.0,3500.0,3000.0,Andhra Pradesh,Chittor,Palamaner,Andhra Pradesh,Chittor,Palamaner,13.1490375,78.7292763,nominatim
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,1st Sort,FAQ,2024-04-02,11000.0,19000.0,16000.0,Andhra Pradesh,Guntur,PiduguralaPalnadu,Andhra Pradesh,Guntur,PiduguralaPalnadu,16.2915189,80.4541588,district_centroid
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,FAQ,2024-04-02,1000.0,1500.0,1200.0,Andhra Pradesh,Kurnool,Pattikonda,Andhra Pradesh,Kurnool,Pattikonda,15.3954238,77.5014036,nominatim
Andhra Pradesh,East Godavari,Rajahmundry,Paddy(Dhan)(Common),Paddy,FAQ,2024-04-02,2183.0,2183.0,2183.0,Andhra Pradesh,East Godavari,Rajahmundry,Andhra Pradesh,East Godavari,Rajahmundry,17.0050454,81.7804732,nominatim
Andhra Pradesh,Chittor,Palamaner,Potato,(Red Nanital),FAQ,2024-04-02,1000.0,2000.0,1500.0,Andhra Pradesh,Chittor,Palamaner,Andhra Pradesh,Chittor,Palamaner,13.1490375,78.7292763,nominatim
Andhra Pradesh,Kurnool,Pattikonda,Tomato,Local,FAQ,2024-04-02,1400.0,2000.0,1800.0,Andhra Pradesh,Kurnool,Pattikonda,Andhra Pradesh,Kurnool,Pattikonda,15.3954238,77.5014036,nominatim
Andhra Pradesh,Chittor,Palamaner,Cluster beans,Cluster Beans,FAQ,2024-04-02,2000.0,3000.0,2500.0,Andhra Pradesh,Chittor,Palamaner,Andhra Pradesh,Chittor,Palamaner,13.1490375,78.7292763,nominatim
Andhra Pradesh,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,2024-04-02,3000.0,3400.0,3200.0,Andhra Pradesh,Chittor,Chittoor,Andhra Pradesh,Chittor,Chittoor,13.325036,79.6480611,nominatim
Andhra Pradesh,Chittor,Palamaner,Cabbage,Cabbage,FAQ,2024-04-02,600.0,1500.0,1000.0,Andhra Pradesh,Chittor,Palamaner,Andhra Pradesh,Chittor,Palamaner,13.1490375,78.7292763,nominatim
Andhra Pradesh,Kurnool,Allagadda,Jowar(Sorghum),Jowar ( White),FAQ,2024-04-02,3250.0,3500.0,3360.0,Andhra Pradesh,Kurnool,Allagadda,Andhra Pradesh,Kurnool,Allagadda,15.1332048,78.5141594,nominatim
Andhra Pradesh,Chittor,Madanapalli,Tomato,Local,FAQ,2024-04-02,1500.0,3200.0,1900.0,Andhra Pradesh,Chittor,Madanapalli,Andhra Pradesh,Chittor,Madanapalli,12.8228649,78.3705177,nominatim
Andhra Pradesh,Kurnool,Banaganapalli,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,2024-04-02,5700.0,5900.0,5800.0,Andhra Pradesh,Kurnool,Banaganapalli,Andhra Pradesh,Kurnool,Banaganapalli,15.3223031,78.2507163,nominatim
Andhra Pradesh,Chittor,Palamaner,Tomato,Hybrid,FAQ,2024-04-02,1500.0,2700.0,2200.0,Andhra Pradesh,Chittor,Palamaner,Andhra Pradesh,Chittor,Palamaner,13.1490375,78.7292763,nominatim
Andhra Pradesh,Chittor,Kalikiri,Tomato,Local,FAQ,2024-04-02,1500.0,3200.0,2600.0,Andhra Pradesh,Chittor,Kalikiri,Andhra Pradesh,Chittor,Kalikiri,13.6823499,78.8032948,nominatim
Andhra Pradesh,Chittor,Palamaner,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,2024-04-02,1500.0,2500.0,2000.0,Andhra Pradesh,Chittor,Palamaner,Andhra Pradesh,Chittor,Palamaner,13.1490375,78.7292763,nominatim
Andhra Pradesh,Kurnool,Banaganapalli,Jowar(Sorghum),Jowar ( White),FAQ,2024-04-02,2800.0,3200.0,3000.0,Andhra Pradesh,Kurnool,Banaganapalli,Andhra Pradesh,Kurnool,Banaganapalli,15.3223031,78.2507163,nominatim
Andhra Pradesh,Chittor,Palamaner,Brinjal,Brinjal,FAQ,2024-04-02,2000.0,4000.0,3000.0,Andhra Pradesh,Chittor,Palamaner,Andhra Pradesh,Chittor,Palamaner,13.1490375,78.7292763,nominatim
Andhra Pradesh,Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,2024-04-02,600.0,1500.0,1000.0,Andhra Pradesh,Chittor,Palamaner,Andhra Pradesh,Chittor,Palamaner,13.1490375,78.7292763,nominatim
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,2024-05-02,3560.0,4030.0,3795.0,Andhra Pradesh,Visakhapatnam,Anakapally,Andhra Pradesh,Visakhapatnam,Anakapally,17.6935526,83.2921297,district_centroid
Andhra Pradesh,Kurnool,Kurnool,Groundnut,Local,FAQ,2024-05-02,4369.0,7141.0,6399.0,Andhra Pradesh,Kurnool,Kurnool,Andhra Pradesh,Kurnool,Kurnool,15.8266024,78.0293132,nominatim
Andhra Pradesh,Kurnool,Kurnool,Sunflower,Bold,FAQ,2024-05-02,3439.0,6400.0,3439.0,Andhra Pradesh,Kurnool,Kurnool,Andhra Pradesh,Kurnool,Kurnool,15.8266024,78.0293132,nominatim
Andhra Pradesh,Kurnool,Atmakur,Maize,Hybrid/Local,FAQ,2024-05-02,2090.0,2090.0,2090.0,Andhra Pradesh,Kurnool,Atmakur,Andhra Pradesh,Kurnool,Atmakur,14.669176,79.5743613,nominatim
Andhra Pradesh,Guntur,Guntur,Dry Chillies,Red New,FAQ,2024-05-02,9000.0,21000.0,20000.0,Andhra Pradesh,Guntur,Guntur,Andhra Pradesh,Guntur,Guntur,16.2394568,80.6473769,nominatim
Andhra Pradesh,Kurnool,Banaganapalli,Jowar(Sorghum),Jowar ( White),FAQ,2024-05-02,3000.0,3200.0,3100.0,Andhra Pradesh,Kurnool,Banaganapalli,Andhra Pradesh,Kurnool,Banaganapalli,15.3223031,78.2507163,nominatim
Andhra Pradesh,Kurnool,Kurnool,Castor Seed,Other,FAQ,2024-05-02,4005.0,5319.0,5189.0,Andhra Pradesh,Kurnool,Kurnool,Andhra Pradesh,Kurnool,Kurnool,15.8266024,78.0293132,nominatim
Andhra Pradesh,Kurnool,Kurnool,Foxtail Millet(Navane),Other,FAQ,2024-05-02,5709.0,5720.0,5720.0,Andhra Pradesh,Kurnool,Kurnool,Andhra Pradesh,Kurnool,Kurnool,15.8266024,78.0293132,nominatim
Andhra Pradesh,Kurnool,Allagadda,Jowar(Sorghum),Jowar ( White),FAQ,2024-05-02,3250.0,3450.0,3360.0,Andhra Pradesh,Kurnool,Allagadda,Andhra Pradesh,Kurnool,Allagadda,15.1332048,78.5141594,nominatim
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,1st Sort,FAQ,2024-05-02,11000.0,19000.0,16000.0,Andhra Pradesh,Guntur,PiduguralaPalnadu,Andhra Pradesh,Guntur,PiduguralaPalnadu,16.2915189,80.4541588,district_centroid
Andhra Pradesh,Kurnool,Kurnool,Dry Chillies,Local,FAQ,2024-05-02,4403.0,22015.0,18500.0,Andhra Pradesh,Kurnool,Kurnool,Andhra Pradesh,Kurnool,Kurnool,15.8266024,78.0293132,nominatim
Andhra Pradesh,Kurnool,Kurnool,Maize,Local,FAQ,2024-05-02,1369.0,2129.0,1369.0,Andhra Pradesh,Kurnool,Kurnool,Andhra Pradesh,Kurnool,Kurnool,15.8266024,78.0293132,nominatim
Andhra Pradesh,Guntur,Tenali,Lemon,Lemon,FAQ,2024-05-02,4600.0,6000.0,5300.0,Andhra Pradesh,Guntur,Tenali,Andhra Pradesh,Guntur,Tenali,16.239216,80.6484323,nominatim
Andhra Pradesh,Chittor,Kalikiri,Tomato,Local,FAQ,2024-05-02,1200.0,2800.0,2000.0,Andhra Pradesh,Chittor,Kalikiri,Andhra Pradesh,Chittor,Kalikiri,13.6823499,78.8032948,nominatim
Andhra Pradesh,Kurnool,Adoni,Cotton,Bunny,FAQ,2024-05-02,4519.0,7059.0,6769.0,Andhra Pradesh,Kurnool,Adoni,Andhra Pradesh,Kurnool,Adoni,15.6261417,77.2723701,nominatim
Andhra Pradesh,Kurnool,Alur,Jowar(Sorghum),Jowar ( White),FAQ,2024-05-02,3160.0,3200.0,3180.0,Andhra Pradesh,Kurnool,Alur,Andhra Pradesh,Kurnool,Alur,15.4276919,77.257826,nominatim
Andhra Pradesh,Kurnool,Banaganapalli,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,2024-05-02,5700.0,5900.0,5800.0,Andhra Pradesh,Kurnool,Banaganapalli,Andhra Pradesh,Kurnool,Banaganapalli,15.3223031,78.2507163,nominatim
Andhra Pradesh,Kurnool,Kurnool,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,2024-05-02,5021.0,6409.0,6039.0,Andhra Pradesh,Kurnool,Kurnool,Andhra Pradesh,Kurnool,Kurnool,15.8266024,78.0293132,nominatim
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,FAQ,2024-05-02,457.0,1274.0,1159.0,Andhra Pradesh,Kurnool,Kurnool,Andhra Pradesh,Kurnool,Kurnool,15.8266024,78.0293132,nominatim
Andhra Pradesh,Kurnool,Allagadda,Paddy(Dhan)(Common),Sona,FAQ,2024-05-02,2250.0,2450.0,2360.0,Andhra Pradesh,Kurnool,Allagadda,Andhra Pradesh,Kurnool,Allagadda,15.1332048,78.5141594,nominatim
Andhra Pradesh,Kurnool,Banaganapalli,Paddy(Dhan)(Common),Sona Mahsuri,FAQ,2024-05-02,2400.0,2600.0,2500.0,Andhra Pradesh,Kurnool,Banaganapalli,Andhra Pradesh,Kurnool,Banaganapalli,15.3223031,78.2507163,nominatim
Andhra Pradesh,Kurnool,Adoni,Groundnut,Balli/Habbu,FAQ,2024-05-02,3612.0,7236.0,6739.0,Andhra Pradesh,Kurnool,Adoni,Andhra Pradesh,Kurnool,Adoni,15.6261417,77.2723701,nominatim
Andhra Pradesh,Kurnool,Adoni,Sunflower,Local,FAQ,2024-05-02,4001.0,4212.0,4212.0,Andhra Pradesh,Kurnool,Adoni,Andhra Pradesh,Kurnool,Adoni,15.6261417,77.2723701,nominatim
Andhra Pradesh,Kurnool,Adoni,Castor Seed,Castor seed,FAQ,2024-05-02,4222.0,5383.0,5323.0,Andhra Pradesh,Kurnool,Adoni,Andhra Pradesh,Kurnool,Adoni,15.6261417,77.2723701,nominatim
Andhra Pradesh,Kurnool,Atmakur,Paddy(Dhan)(Common),Sona Mahsuri,FAQ,2024-05-02,2183.0,2183.0,2183.0,Andhra Pradesh,Kurnool,Atmakur,Andhra Pradesh,Kurnool,Atmakur,14.669176,79.5743613,nominatim
Andhra Pradesh,East Godavari,Rajahmundry,Paddy(Dhan)(Common),Swarna Masuri (New),FAQ,2024-05-02,2203.0,2203.0,2203.0,Andhra Pradesh,East Godavari,Rajahmundry,Andhra Pradesh,East Godavari,Rajahmundry,17.0050454,81.7804732,nominatim
Andhra Pradesh,Kurnool,Kurnool,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,2024-05-02,7829.0,9829.0,9829.0,Andhra Pradesh,Kurnool,Kurnool,Andhra Pradesh,Kurnool,Kurnool,15.8266024,78.0293132,nominatim
Andhra Pradesh,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,2024-05-02,3200.0,3600.0,3200.0,Andhra Pradesh,Chittor,Chittoor,Andhra Pradesh,Chittor,Chittoor,13.325036,79.6480611,nominatim
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,FAQ,2024-05-02,1000.0,1500.0,1200.0,Andhra Pradesh,Kurnool,Pattikonda,Andhra Pradesh,Kurnool,Pattikonda,15.3954238,77.5014036,nominatim
Andhra Pradesh,Guntur,Tenali,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,2024-05-02,9600.0,10000.0,9800.0,Andhra Pradesh,Guntur,Tenali,Andhra Pradesh,Guntur,Tenali,16.239216,80.6484323,nominatim
